#,LeagueCP,Name,SpeciesID,Moves Set,BEST,DEFAULT,DEFAULT_XS,MAX,b2x,b2d,b2m,x2d,x2m,d2m,RESULT,IV
165,1500,Cloyster (Shadow),cloyster_shadow,2001-06-05,22.5-0-13-13,22-5-9-14,,20.5-15-15-15,-,2.00%,3.00%,-,-,1.00%,B,22.5-0-13-13
166,1500,Cobalion,cobalion,2000-01-03,18.5-3-14-14,18.5-5-14-9,,17-15-15-15,-,-18.00%,19.00%,-,-,18.00%,D,18.5-5-14-9
167,1500,Cofagrigus,cofagrigus,2000-03-01,25.5-0-11-14,25-5-15-8,,23-15-15-15,-,-18.00%,-18.00%,-,-,-18.00%,M,23-15-15-15
168,1500,Combee,combee,0-1-0,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
169,1500,Combusken,combusken,2000-02-03,39.5-0-15-14,39-4-12-12,,33.5-15-15-15,-,-11.00%,-8.00%,-,-,-8.00%,M,33.5-15-15-15
170,1500,Conkeldurr,conkeldurr,2000-01-03,16.5-3-15-15,16.5-5-14-11,,15.5-15-15-15,-,0.00%,2.00%,-,-,1.00%,D,16.5-5-14-11
171,1500,Corphish,corphish,2000-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
172,1500,Corsola,corsola,2000-03-01,50-10-15-15,47.5-14-15-15,,46.5-15-15-15,-,1.00%,1.00%,-,-,-14.00%,B,50-10-15-15
173,1500,Cottonee,cottonee,2000-02-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
174,1500,Cradily,cradily,2001-04-02,26-0-15-15,26-4-10-10,,23.5-15-15-15,-,-24.00%,-21.00%,-,-,-8.00%,M,23.5-15-15-15
175,1500,Cradily (Shadow),cradily_shadow,2001-04-03,26-0-15-15,26-4-10-10,,23.5-15-15-15,-,-57.00%,-55.00%,-,-,-55.00%,M,23.5-15-15-15
176,1500,Cranidos,cranidos,2001-01-02,31.5-1-15-14,30.5-5-14-15,,28.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,28.5-15-15-15
177,1500,Crawdaunt,crawdaunt,2000-03-02,22.5-2-15-14,22.5-4-11-15,,21-15-15-15,-,-25.00%,29.00%,-,-,28.00%,D,22.5-4-11-15
178,1500,Cresselia,cresselia,2001-03-04,20-2-15-13,20-4-7-13,,18-15-15-15,-,-15.00%,-9.00%,-,-,-7.00%,M,18-15-15-15
179,1500,Croagunk,croagunk,2000-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
180,1500,Crobat,crobat,2000-03-02,21.5-0-15-12,21-5-11-15,,19.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,19.5-15-15-15
181,1500,Crobat (Shadow),crobat_shadow,2000-03-04,21.5-0-15-12,21-5-11-15,,19.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,19.5-15-15-15
182,1500,Croconaw,croconaw,2001-02-01,37.5-0-13-15,35-6-14-13,,30.5-15-15-15,-,2.00%,4.00%,-,-,1.00%,B,37.5-0-13-15
183,1500,Crustle,crustle,2000-02-03,22.5-0-13-13,22-5-14-11,,20.5-15-15-15,-,-19.00%,-18.00%,-,-,-18.00%,M,20.5-15-15-15
184,1500,Cryogonal,cryogonal,2001-02-01,20.5-0-14-11,20-5-10-13,,18.5-15-15-15,-,15.00%,2.00%,-,-,1.00%,B,20.5-0-14-11
185,1500,Cubchoo,cubchoo,2001-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
186,1500,Cubone,cubone,2000-01-04,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
187,1500,Cubone (Shadow),cubone_shadow,2000-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
188,1500,Cyndaquil,cyndaquil,2000-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
189,1500,Darkrai,darkrai,2001-01-03,14.5-10-13-11,14-14-13-15,,14-15-15-15,-,46.00%,46.00%,-,-,-46.00%,B,14.5-10-13-11
190,1500,Darmanitan (Galarian Zen),darmanitan_galarian_zen,2000-01-04,14-2-15-14,14-5-14-11,,13-15-15-15,-,1.00%,1.00%,-,-,15.00%,B,14-2-15-14
191,1500,Darmanitan (Galarian),darmanitan_galarian_standard,2000-01-04,18-0-15-11,18-4-12-9,,16.5-15-15-15,-,0.00%,1.00%,-,-,1.00%,D,18-4-12-9
192,1500,Darmanitan (Standard),darmanitan_standard,2001-04-02,18-0-15-11,18-4-12-9,,16.5-15-15-15,-,-17.00%,-15.00%,-,-,17.00%,D,18-4-12-9
193,1500,Darmanitan (Zen),darmanitan_zen,2000-04-03,15-0-14-13,14.5-6-14-15,,14-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,14-15-15-15
194,1500,Darumaka,darumaka,2000-01-02,50-2-15-14,49-5-14-13,,43-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,43-15-15-15
195,1500,Darumaka (Galarian),darumaka_galarian,2000-02-01,50-2-15-14,49-5-14-13,,43-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,43-15-15-15
196,1500,Dedenne,dedenne,2001-01-03,33-0-14-12,30.5-5-14-15,,28.5-15-15-15,-,-5.00%,-1.00%,-,-,3.00%,D,30.5-5-14-15
197,1500,Deerling,deerling,2000-03-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
198,1500,Deino,deino,2000-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
199,1500,Delcatty,delcatty,2000-03-01,49-0-15-15,46.5-5-13-14,,40-15-15-15,-,0.00%,8.00%,-,-,0.00%,M,40-15-15-15
200,1500,Delibird,delibird,2001-03-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
201,1500,Delibird (Shadow),delibird_shadow,2000-04-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
202,1500,Delphox,delphox,2000-03-04,18.5-0-11-14,18-4-15-12,,17-15-15-15,-,-3.00%,-1.00%,-,-,-1.00%,M,17-15-15-15
203,1500,Deoxys,deoxys,2000-02-03,17-10-15-12,17-11-11-14,,16.5-15-15-15,-,11.00%,0.00%,-,-,0.00%,M,16.5-15-15-15
204,1500,Deoxys (Attack),deoxys_attack,2000-02-01,20.5-13-15-14,20.5-11-15-13,,20-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,20-15-15-15
205,1500,Deoxys (Defense),deoxys_defense,2000-01-03,24-10-15-13,23.5-12-12-15,,23-15-15-15,-,-11.00%,-10.00%,-,-,-10.00%,M,23-15-15-15
206,1500,Deoxys (Speed),deoxys_speed,2000-01-03,18.5-11-15-15,18.5-15-11-13,,18-15-15-15,-,-33.00%,-33.00%,-,-,33.00%,D,18.5-15-11-13
207,1500,Dewgong,dewgong,2001-04-05,29.5-0-12-15,29-4-9-14,,26-15-15-15,-,-2.00%,6.00%,-,-,4.00%,D,29-4-9-14
208,1500,Dewott,dewott,2000-01-03,36-0-15-15,33.5-6-15-15,,30-15-15-15,-,1.00%,1.00%,-,-,-23.00%,B,36-0-15-15
209,1500,Dialga,dialga,2000-02-01,13.5-5-15-14,13.5-8-11-13,,13-15-15-15,-,0.00%,2.00%,-,-,2.00%,D,13.5-8-11-13
210,1500,Diggersby,diggersby,2000-03-02,50-0-15-13,48-4-15-8,,39.5-15-15-15,-,-20.00%,-15.00%,-,-,-14.00%,M,39.5-15-15-15
211,1500,Diglett,diglett,2000-02-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
212,1500,Diglett (Alolan),diglett_alolan,2001-02-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
213,1500,Diglett (Shadow),diglett_shadow,2000-03-04,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
214,1500,Ditto,ditto,0-1-0,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
215,1500,Dodrio,dodrio,2000-03-04,24-0-12-15,23.5-5-13-12,,22-15-15-15,-,1.00%,1.00%,-,-,0.00%,B,24-0-12-15
216,1500,Doduo,doduo,2001-02-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
217,1500,Donphan,donphan,2001-01-02,19-0-14-8,18.5-5-10-14,,17-15-15-15,-,0.00%,2.00%,-,-,3.00%,D,18.5-5-10-14
218,1500,Doublade,doublade,2001-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
219,1500,Dragalge,dragalge,2001-01-02,24-0-15-13,23.5-5-9-15,,22-15-15-15,-,-3.00%,11.00%,-,-,11.00%,D,23.5-5-9-15
220,1500,Dragonair,dragonair,2000-01-03,34-1-15-15,33-5-13-14,,29.5-15-15-15,-,2.00%,2.00%,-,-,0.00%,B,34-1-15-15
221,1500,Dragonair (Shadow),dragonair_shadow,2000-01-02,34-1-15-15,33-5-13-14,,29.5-15-15-15,-,12.00%,2.00%,-,-,0.00%,B,34-1-15-15
222,1500,Dragonite,dragonite,2000-02-04,14.5-3-15-14,14.5-4-15-11,,13.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,13.5-15-15-15
223,1500,Dragonite (Shadow),dragonite_shadow,2000-02-05,14.5-3-15-14,14.5-4-15-11,,13.5-15-15-15,-,-3.00%,3.00%,-,-,1.00%,D,14.5-4-15-11
224,1500,Drapion,drapion,2003-02-04,23-2-15-14,23-5-11-11,,21-15-15-15,-,1.00%,1.00%,-,-,-25.00%,B,23-2-15-14
225,1500,Dratini,dratini,2000-01-04,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
226,1500,Dratini (Shadow),dratini_shadow,2000-01-04,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
227,1500,Drifblim,drifblim,2001-01-03,24-0-15-12,23-7-15-14,,22-15-15-15,-,-4.00%,10.00%,-,-,4.00%,D,23-7-15-14
228,1500,Drifloon,drifloon,2001-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
229,1500,Drilbur,drilbur,2000-02-03,49.5-10-15-15,49-13-13-14,,47-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,47-15-15-15
230,1500,Drowzee,drowzee,2000-03-04,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
231,1500,Drowzee (Shadow),drowzee_shadow,2000-04-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
232,1500,Druddigon,druddigon,2001-01-03,20.5-0-15-15,20-7-15-13,,19-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,19-15-15-15
233,1500,Ducklett,ducklett,2001-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
234,1500,Dugtrio,dugtrio,2000-02-04,44-0-15-13,41.5-4-15-14,,37-15-15-15,-,2.00%,3.00%,-,-,1.00%,B,44-0-15-13
235,1500,Dugtrio (Alolan),dugtrio_alolan,2001-03-02,30-0-12-15,29-6-13-15,22-9-15-14,27.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,27.5-15-15-15
236,1500,Dugtrio (Shadow),dugtrio_shadow,2000-03-04,44-0-15-13,41.5-4-15-14,,37-15-15-15,-,1.00%,0.00%,-,-,0.00%,M,37-15-15-15
237,1500,Dunsparce,dunsparce,2001-02-03,40-0-14-12,37.5-4-15-12,,32-15-15-15,-,1.00%,4.00%,-,-,2.00%,B,40-0-14-12
238,1500,Duosion,duosion,2012-02-03,28-0-15-13,27.5-5-15-10,50-9-11-15,26-15-15-15,-,2.00%,8.00%,-,-,0.00%,B,28-0-15-13
239,1500,Durant,durant,2000-03-02,21-1-15-15,21-5-10-13,,19.5-15-15-15,-,1.00%,4.00%,-,-,3.00%,B,21-1-15-15
240,1500,Dusclops,dusclops,2001-01-03,45-0-11-15,43-4-13-12,,36-15-15-15,-,2.00%,7.00%,-,-,-11.00%,B,45-0-11-15
241,1500,Dusclops (Shadow),dusclops_shadow,2001-04-01,45-0-11-15,43-4-13-12,,36-15-15-15,-,0.00%,3.00%,-,-,0.00%,M,36-15-15-15
242,1500,Dusknoir,dusknoir,2001-01-02,24-0-14-13,23.5-5-13-12,,21.5-15-15-15,-,-18.00%,-16.00%,-,-,-16.00%,M,21.5-15-15-15
243,1500,Dusknoir (Shadow),dusknoir_shadow,2001-01-03,24-0-14-13,23.5-5-13-12,,21.5-15-15-15,-,2.00%,2.00%,-,-,0.00%,B,24-0-14-13
244,1500,Duskull,duskull,2001-02-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
245,1500,Duskull (Shadow),duskull_shadow,2001-03-04,50-15-15-15,50-15-15-15,23.5-5-6-14,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
246,1500,Dustox,dustox,2000-03-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
247,1500,Dwebble,dwebble,2001-03-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
248,1500,Eelektrik,eelektrik,2001-02-01,37.5-0-13-15,36.5-4-14-10,,31-15-15-15,-,-9.00%,-6.00%,-,-,-5.00%,M,31-15-15-15
249,1500,Eelektross,eelektross,2001-03-04,20.5-1-15-14,20-8-12-15,,19-15-15-15,-,-21.00%,-19.00%,-,-,-19.00%,M,19-15-15-15
250,1500,Eevee,eevee,2000-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
251,1500,Ekans,ekans,2001-02-04,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
252,1500,Ekans (Shadow),ekans_shadow,2001-03-04,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
253,1500,Electabuzz,electabuzz,2001-04-01,24.5-0-14-11,23.5-7-14-14,,22.5-15-15-15,-,-40.00%,-38.00%,-,-,-38.00%,M,22.5-15-15-15
254,1500,Electabuzz (Shadow),electabuzz_shadow,2001-04-03,24.5-0-14-11,23.5-7-14-14,,22.5-15-15-15,-,-18.00%,-16.00%,-,-,-16.00%,M,22.5-15-15-15
255,1500,Electivire,electivire,2001-02-05,18-1-15-15,18-5-10-14,,17-15-15-15,-,-60.00%,-59.00%,-,-,-59.00%,M,17-15-15-15
256,1500,Electivire (Shadow),electivire_shadow,2001-03-06,18-1-15-15,18-5-10-14,,17-15-15-15,-,-47.00%,-46.00%,-,-,-46.00%,M,17-15-15-15
257,1500,Electrike,electrike,2001-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
258,1500,Electrode,electrode,2002-02-04,27-1-15-15,26.5-6-12-14,,25-15-15-15,-,1.00%,0.00%,-,-,3.00%,M,25-15-15-15
259,1500,Elekid,elekid,2001-04-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
260,1500,Elgyem,elgyem,2001-03-01,50-8-15-15,49.5-12-13-12,,46-15-15-15,-,1.00%,1.00%,-,-,0.00%,B,50-8-15-15
261,1500,Emboar,emboar,2000-01-04,19-0-14-9,18.5-5-12-14,,17.5-15-15-15,-,-5.00%,-2.00%,-,-,-2.00%,M,17.5-15-15-15
262,1500,Emolga,emolga,2001-02-01,41-0-13-15,39-5-15-11,,34-15-15-15,-,-2.00%,5.00%,-,-,1.00%,D,39-5-15-11
263,1500,Empoleon,empoleon,2001-04-02,19.5-0-13-15,19-6-13-14,,18-15-15-15,-,-12.00%,-11.00%,-,-,-11.00%,M,18-15-15-15
264,1500,Entei,entei,2001-03-05,16-1-15-15,16-6-9-13,,15-15-15-15,-,-19.00%,-17.00%,-,-,-17.00%,M,15-15-15-15
265,1500,Entei (Shadow),entei_shadow,2001-03-06,16-1-15-15,16-6-9-13,,15-15-15-15,-,0.00%,2.00%,-,-,1.00%,D,16-6-9-13
266,1500,Escavalier,escavalier,2001-03-04,19.5-0-15-13,19.5-4-11-10,,18-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,18-15-15-15
267,1500,Espeon,espeon,2000-04-02,17.5-0-15-15,17-7-14-15,,16.5-15-15-15,-,0.00%,2.00%,-,-,1.00%,D,17-7-14-15
268,1500,Espurr,espurr,2000-03-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
269,1500,Excadrill,excadrill,2001-01-04,17-2-15-15,17-4-14-11,,16-15-15-15,-,-23.00%,-22.00%,-,-,-22.00%,M,16-15-15-15
270,1500,Exeggcute,exeggcute,2000-04-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
271,1500,Exeggcute (Shadow),exeggcute_shadow,2000-04-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
272,1500,Exeggutor,exeggutor,2000-02-01,18.5-1-15-14,18.5-5-14-7,,17-15-15-15,-,-27.00%,-26.00%,-,-,27.00%,D,18.5-5-14-7
273,1500,Exeggutor (Alolan),exeggutor_alolan,2000-02-01,18.5-1-15-14,18.5-4-11-12,,17-15-15-15,-,-55.00%,-53.00%,-,-,-53.00%,M,17-15-15-15
274,1500,Exeggutor (Shadow),exeggutor_shadow,2000-03-02,18.5-1-15-14,18.5-5-14-7,,17-15-15-15,-,-3.00%,-1.00%,-,-,2.00%,D,18.5-5-14-7
275,1500,Exploud,exploud,2001-01-02,24.5-0-15-10,23.5-6-15-12,,22-15-15-15,-,0.00%,2.00%,-,-,1.00%,D,23.5-6-15-12
276,1500,Farfetch'd,farfetchd,2002-03-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
277,1500,Farfetch'd (Galarian),farfetchd_galarian,2000-03-01,38-0-15-15,36.5-5-13-15,,32.5-15-15-15,-,2.00%,1.00%,-,-,-52.00%,B,38-0-15-15
278,1500,Fearow,fearow,2000-03-02,28.5-0-15-14,28.5-4-11-11,,26-15-15-15,-,0.00%,13.00%,-,-,0.00%,M,26-15-15-15
279,1500,Feebas,feebas,1-1-0,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
280,1500,Fennekin,fennekin,2000-02-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
281,1500,Feraligatr,feraligatr,2003-02-01,20-0-11-13,19.5-4-12-13,,18-15-15-15,-,33.00%,2.00%,-,-,-32.00%,B,20-0-11-13
282,1500,Ferroseed,ferroseed,2000-03-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
283,1500,Ferrothorn,ferrothorn,2000-04-05,25-0-13-13,24-6-14-13,,22.5-15-15-15,-,-3.00%,5.00%,-,-,2.00%,D,24-6-14-13
284,1500,Finneon,finneon,2001-01-02,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
285,1500,Flaaffy,flaaffy,2000-01-03,47-0-15-14,45.5-4-13-13,,39-15-15-15,-,1.00%,1.00%,-,-,-30.00%,B,47-0-15-14
286,1500,Flaaffy (Shadow),flaaffy_shadow,2000-01-03,47-0-15-14,45.5-4-13-13,,39-15-15-15,-,-16.00%,-12.00%,-,-,-11.00%,M,39-15-15-15
287,1500,Flabebe,flabebe,2001-03-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
288,1500,Flareon,flareon,2001-02-05,18.5-0-15-13,18-4-15-14,,17-15-15-15,-,0.00%,3.00%,-,-,2.00%,D,18-4-15-14
289,1500,Fletchinder,fletchinder,2000-02-01,50-0-14-15,47-4-15-15,,41.5-15-15-15,-,-18.00%,-15.00%,-,-,-15.00%,M,41.5-15-15-15
290,1500,Fletchling,fletchling,2001-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
291,1500,Floatzel,floatzel,2000-02-01,23-0-15-14,22.5-6-14-12,,21.5-15-15-15,-,1.00%,1.00%,-,-,0.00%,B,23-0-15-14
292,1500,Floette,floette,2001-03-01,47-0-14-15,44-5-14-15,,38.5-15-15-15,-,-5.00%,-2.00%,-,-,-1.00%,M,38.5-15-15-15
293,1500,Florges,florges,2002-01-04,17.5-0-14-13,17-6-14-12,,16-15-15-15,-,0.00%,2.00%,-,-,3.00%,D,17-6-14-12
294,1500,Flygon,flygon,2001-01-03,21.5-0-15-9,21-6-11-11,,19.5-15-15-15,-,-5.00%,-2.00%,-,-,-1.00%,M,19.5-15-15-15
295,1500,Flygon (Shadow),flygon_shadow,2001-01-03,21.5-0-15-9,21-6-11-11,,19.5-15-15-15,-,-59.00%,-58.00%,-,-,-48.00%,M,19.5-15-15-15
296,1500,Foongus,foongus,2001-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
297,1500,Forretress,forretress,2000-01-03,25.5-0-9-15,25-4-7-14,,23-15-15-15,-,-8.00%,-4.00%,-,-,-15.00%,M,23-15-15-15
298,1500,Forretress (Shadow),forretress_shadow,2000-01-04,25.5-0-9-15,25-4-7-14,,23-15-15-15,-,-17.00%,-14.00%,-,-,-14.00%,M,23-15-15-15
299,1500,Fraxure,fraxure,2000-02-03,25-1-15-15,24.5-8-12-15,,23.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,23.5-15-15-15
300,1500,Frillish,frillish,2001-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
301,1500,Froakie,froakie,2000-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
302,1500,Frogadier,frogadier,2000-02-01,39.5-1-15-15,39.5-4-12-13,,34-15-15-15,-,0.00%,3.00%,-,-,1.00%,D,39.5-4-12-13
303,1500,Froslass,froslass,2001-01-03,28-0-15-15,27.5-4-15-12,,25.5-15-15-15,-,-18.00%,-15.00%,-,-,-14.00%,M,25.5-15-15-15
304,1500,Furfrou,furfrou,2001-03-02,27-1-14-15,27-4-10-13,,24.5-15-15-15,-,0.00%,1.00%,-,-,-8.00%,M,24.5-15-15-15
305,1500,Furret,furret,2000-01-03,35.5-1-15-14,34.5-5-14-11,,29.5-15-15-15,-,-7.00%,-3.00%,-,-,-3.00%,M,29.5-15-15-15
306,1500,Gabite,gabite,2000-02-03,31-0-15-14,30-4-13-14,,28-15-15-15,-,1.00%,12.00%,-,-,-52.00%,B,31-0-15-14
307,1500,Gallade,gallade,2001-01-02,18-0-15-15,18-5-7-15,,16.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,16.5-15-15-15
308,1500,Gallade (Shadow),gallade_shadow,2001-01-03,18-0-15-15,18-5-7-15,,16.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,16.5-15-15-15
309,1500,Galvantula,galvantula,2001-03-05,25.5-0-15-15,25.5-5-11-12,,23.5-15-15-15,-,-2.00%,0.00%,-,-,0.00%,M,23.5-15-15-15
310,1500,Garbodor,garbodor,2000-02-04,24.5-0-13-13,23.5-7-13-14,,22-15-15-15,-,-2.00%,6.00%,-,-,3.00%,D,23.5-7-13-14
311,1500,Garchomp,garchomp,2001-01-03,14-0-15-15,14-4-12-10,,13-15-15-15,-,-50.00%,-33.00%,-,-,-33.00%,M,13-15-15-15
312,1500,Gardevoir,gardevoir,2001-04-03,18-0-15-15,18-5-7-15,,16.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,16.5-15-15-15
313,1500,Gardevoir (Shadow),gardevoir_shadow,2001-05-04,18-0-15-15,18-5-7-15,,16.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,16.5-15-15-15
314,1500,Gastly,gastly,2002-04-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
315,1500,Gastrodon (East),gastrodon_east_sea,2016-01-03,24.5-1-15-14,24.5-4-12-9,,22.5-15-15-15,-,-15.00%,-13.00%,-,-,-13.00%,M,22.5-15-15-15
316,1500,Gastrodon (West),gastrodon_west_sea,2016-01-03,24.5-1-15-14,24.5-4-12-9,,22.5-15-15-15,-,-15.00%,-13.00%,-,-,-13.00%,M,22.5-15-15-15
317,1500,Genesect,genesect,2000-03-02,16-10-15-14,16-12-10-15,,15.5-15-15-15,-,-12.00%,-11.00%,-,-,12.00%,D,16-12-10-15
318,1500,Genesect (Burn),genesect_burn,2000-04-02,16-10-15-14,16-12-10-15,,15.5-15-15-15,-,-12.00%,-11.00%,-,-,12.00%,D,16-12-10-15
319,1500,Genesect (Chill),genesect_chill,2000-03-02,16-10-15-14,16-12-10-15,,15.5-15-15-15,-,-12.00%,-11.00%,-,-,12.00%,D,16-12-10-15
320,1500,Genesect (Douse),genesect_douse,2000-03-02,16-10-15-14,16-12-10-15,,15.5-15-15-15,-,-12.00%,-11.00%,-,-,12.00%,D,16-12-10-15
321,1500,Genesect (Shock),genesect_shock,2000-02-01,16-10-15-14,16-12-10-15,,15.5-15-15-15,-,-12.00%,-11.00%,-,-,12.00%,D,16-12-10-15
322,1500,Gengar,gengar,2002-04-05,19.5-0-13-13,19-8-13-12,,18-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,18-15-15-15
323,1500,Gengar (Mega),gengar_mega,2002-04-05,12.5-3-15-15,12.5-7-10-15,,12-15-15-15,-,0.00%,18.00%,-,-,18.00%,D,12.5-7-10-15
324,1500,Geodude,geodude,2000-02-01,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
325,1500,Geodude (Alolan),geodude_alolan,2001-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
326,1500,Gible,gible,2000-01-03,50-15-15-15,50-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
327,1500,Gigalith,gigalith,2001-02-04,17.5-0-11-15,17-5-14-13,,16-15-15-15,-,-4.00%,0.00%,-,-,0.00%,M,16-15-15-15
328,1500,Girafarig,girafarig,2000-02-03,28-0-15-12,27-4-15-14,,25.5-15-15-15,-,0.00%,6.00%,-,-,0.00%,M,25.5-15-15-15
329,1500,Giratina (Altered),giratina_altered,2001-02-03,16.5-3-15-15,16.5-5-14-10,,15.5-15-15-15,-,1.00%,2.00%,-,-,-3.00%,B,16.5-3-15-15
