#,LeagueCP,Name,SpeciesID,Moves Set,BEST,DEFAULT,DEFAULT_XL,MAX,b2x,b2d,b2m,x2d,x2m,d2m,RESULT,IV
169,2500,圓法師,kricketot,1-1-0,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
170,2500,圓絲蛛,spinarak,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
171,2500,圓蝌蚪,tympole,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
172,2500,圓陸鯊,gible,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
173,2500,圖圖犬,smeargle,10-10-62,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
174,2500,土台龜,torterra,1-02-06,34-0-15-15,33-6-10-14,,29.5-15-15-15,-,1.00%,1.00%,-,-,1.00%,B,34-0-15-15
175,2500,土台龜 暗影化,torterra_shadow,1-02-06,34-0-15-15,33-6-10-14,,29.5-15-15-15,-,0.00%,10.00%,-,-,2.00%,D,33-6-10-14
176,2500,土地雲 化身型態,landorus_incarnate,0-04-01,26-1-11-14,25-10-15-11,,24-15-15-15,-,-22.00%,-20.00%,-,-,21.00%,D,25-10-15-11
177,2500,土地雲 靈獸型態,landorus_therian,0-04-01,23.5-1-13-15,23.5-7-8-12,,22-15-15-15,-,-12.00%,-10.00%,-,-,11.00%,D,23.5-7-8-12
178,2500,土居忍士,nincada,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
179,2500,土狼犬,poochyena,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
180,2500,土龍弟弟,dunsparce,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
181,2500,地幔岩,boldore,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
182,2500,地鼠,diglett,0-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
183,2500,地鼠 暗影化,diglett_shadow,0-03-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
184,2500,地鼠 阿羅拉型態,diglett_alolan,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
185,2500,坐騎小羊,skiddo,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
186,2500,坐騎山羊,gogoat,1-02-03,37.5-0-14-15,36.5-6-13-8,,32.5-15-15-15,-,1.00%,1.00%,-,-,-7.00%,B,37.5-0-14-15
187,2500,坦克臭鼬,skuntank,1-01-04,50-3-15-14,40-15-15-15,,44.5-15-15-15,-,24.00%,-19.00%,-,-,0.00%,M,44.5-15-15-15
188,2500,坦克臭鼬 暗影化,skuntank_shadow,1-01-04,50-3-15-14,40-15-15-15,,44.5-15-15-15,-,5.00%,1.00%,-,-,0.00%,B,50-3-15-14
189,2500,垃垃藻,skrelp,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
190,2500,基拉祈,jirachi,1-02-01,27.5-10-13-15,27.5-10-15-10,,26.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,26.5-15-15-15
191,2500,基格爾德,Zygarde,1-05-02,27.5-1-14-14,27-8-13-8,,25.5-15-15-15,-,-17.00%,-17.00%,-,-,-17.00%,M,25.5-15-15-15
196,2500,堅果啞鈴,ferrothorn,0-4-2,50-7-14-15,40-15-15-15,49-9-14-15,45.5-15-15-15,-10%,12%,-6%,10%,-6%,0%,M,45.5-15-15-15
193,2500,堅盾劍怪,aegislash,1-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
194,2500,堵攔熊,obstagoon,0-04-02,42-0-15-13,36-14-15-15,,35.5-15-15-15,-,-9.00%,-1.00%,-,-,0.00%,M,35.5-15-15-15
195,2500,墨海馬,horsea,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
196,2500,壺壺,shuckle,0-04-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
197,2500,壺壺 暗影化,shuckle_shadow,0-04-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
198,2500,多刺菊石獸,omastar,0-05-04,37.5-0-14-15,34.5-9-15-15,,32.5-15-15-15,-,-20.00%,-19.00%,-,-,-18.00%,M,32.5-15-15-15
199,2500,多刺菊石獸 暗影化,omastar_shadow,0-05-04,37.5-0-14-15,34.5-9-15-15,,32.5-15-15-15,-,-49.00%,-48.00%,-,-,-48.00%,M,32.5-15-15-15
200,2500,多多冰,vanillish,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
201,2500,多邊獸,porygon,2017-01-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
202,2500,多邊獸 暗影化,porygon_shadow,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
203,2500,多邊獸Ⅱ,porygon2,2017-02-04,39-1-15-15,38-5-13-13,,34.5-15-15-15,-,2.00%,4.00%,-,-,2.00%,B,39-1-15-15
204,2500,多邊獸Ⅱ 暗影化,porygon2_shadow,2017-02-04,39-1-15-15,38-5-13-13,,34.5-15-15-15,-,-40.00%,-39.00%,-,-,-39.00%,M,34.5-15-15-15
205,2500,多邊獸Ｚ,porygon_z,2017-05-01,28.5-0-13-14,28-6-11-14,,26.5-15-15-15,-,1.00%,-3.00%,-,-,1.00%,M,26.5-15-15-15
206,2500,多邊獸Ｚ 暗影化,porygon_z_shadow,2017-05-01,28.5-0-13-14,28-6-11-14,,26.5-15-15-15,-,-58.00%,-55.00%,-,-,-55.00%,M,26.5-15-15-15
207,2500,多麗米亞,furfrou,1-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
208,2500,夜巡靈,duskull,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
209,2500,夜巡靈 暗影化,duskull_shadow,1-03-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
210,2500,夢夢蝕,musharna,0-03-02,39.5-0-15-15,38-6-15-8,,34-15-15-15,-,1.00%,2.00%,-,-,-10.00%,B,39.5-0-15-15
211,2500,夢妖,misdreavus,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
212,2500,夢妖 暗影化,misdreavus_shadow,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
213,2500,夢妖魔,mismagius,0-04-01,42-0-14-15,37.5-12-15-15,,36.5-15-15-15,-,-9.00%,-8.00%,-,-,-8.00%,M,36.5-15-15-15
214,2500,夢妖魔 暗影化,mismagius_shadow,0-04-01,42-0-14-15,37.5-12-15-15,,36.5-15-15-15,-,1.00%,1.00%,-,-,0.00%,B,42-0-14-15
215,2500,夢幻,mew,8-16-18,27.5-10-13-15,27.5-10-15-10,,26.5-15-15-15,-,0.00%,-18.00%,-,-,-18.00%,M,26.5-15-15-15
216,2500,夢歌仙人掌,cacturne,1-01-03,50-6-15-15,40-15-15-15,,46.5-15-15-15,-,29.00%,-27.00%,-,-,0.00%,M,46.5-15-15-15
217,2500,夢歌仙人掌 暗影化,cacturne_shadow,1-01-04,50-6-15-15,40-15-15-15,,46.5-15-15-15,-,18.00%,1.00%,-,-,0.00%,B,50-6-15-15
218,2500,大劍鬼,samurott,0-03-02,36-1-15-15,35.5-5-12-12,,31.5-15-15-15,-,2.00%,3.00%,-,-,2.00%,B,36-1-15-15
219,2500,大力鱷,feraligatr,1-02-01,35.5-1-15-14,34.5-6-15-10,,31-15-15-15,-,3.00%,2.00%,-,-,0.00%,B,35.5-1-15-14
220,2500,大嘴娃,mawile,2-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
221,2500,大嘴娃 暗影化,mawile_shadow,2-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
222,2500,大嘴蝠,golbat,1-03-05,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
223,2500,大嘴蝠 暗影化,golbat_shadow,1-04-05,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
224,2500,大嘴雀,fearow,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
225,2500,大嘴鷗,pelipper,1-04-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
226,2500,大奶罐,miltank,0-01-03,50-4-15-15,40-15-15-15,,44.5-15-15-15,-,12.00%,8.00%,-,-,0.00%,B,50-4-15-15
227,2500,大宇怪,beheeyem,1-03-01,37.5-1-15-15,37-6-13-11,,33.5-15-15-15,-,-18.00%,-9.00%,-,-,-9.00%,M,33.5-15-15-15
228,2500,大尾狸,bibarel,1-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
229,2500,大尾立,furret,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
230,2500,大岩蛇,onix,0-03-05,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
231,2500,大朝北鼻,probopass,1-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
232,2500,大比鳥,pidgeot,1-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
233,2500,大比鳥 (Mega),pidgeot_mega,1-03-01,25-0-15-15,24.5-6-13-14,,23.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,23.5-15-15-15
234,2500,大牙狸,bidoof,1-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
235,2500,大狼犬,mightyena,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
236,2500,大王燕,swellow,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
237,2500,大竺葵,meganium,1-02-01,50-0-14-15,40-15-15-15,,42.5-15-15-15,-,23.00%,-15.00%,-,-,0.00%,M,42.5-15-15-15
238,2500,大舌舔,lickilicky,0-01-04,48.5-0-14-15,40-15-15-15,46-5-14-14,41-15-15-15,-8.00%,-4.00%,-4.00%,-2.00%,-4.00%,0.00%,M,41-15-15-15
240,2500,大舌貝,shellder,0-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
241,2500,大舌貝 暗影化,shellder_shadow,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
242,2500,大舌頭,lickitung,0-01-03,50-15-15-15,40-15-15-15,50-15-15-15,50-15-15-15,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,M,50-15-15-15
244,2500,大蔥鴨,farfetchd,2-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
245,2500,大蔥鴨 伽勒爾型態,farfetchd_galarian,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
246,2500,大針蜂,beedrill,2-06-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
247,2500,大針蜂 (Mega),beedrill_mega,2-06-02,27-1-15-15,27-8-15-7,,25.5-15-15-15,-,-22.00%,-23.00%,-,-,22.00%,D,27-8-15-7
248,2500,大針蜂 暗影化,beedrill_shadow,2-06-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
249,2500,大鉗蟹,krabby,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
250,2500,大鋼蛇,steelix,0-01-02,49.5-2-15-15,40-15-15-15,48.5-5-9-15,42.5-15-15-15,-7.00%,10.00%,-3.00%,-5.00%,-8.00%,0.00%,M,42.5-15-15-15
252,2500,大顎蟻,trapinch,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
253,2500,大顎蟻 暗影化,trapinch_shadow,0-01-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
254,2500,大食花,victreebel,1-02-05,48.5-0-15-12,40-15-15-15,,42-15-15-15,-,1.00%,-16.00%,-,-,0.00%,M,42-15-15-15
255,2500,大食花 暗影化,victreebel_shadow,1-03-05,48.5-0-15-12,40-15-15-15,,42-15-15-15,-,15.00%,0.00%,-,-,0.00%,M,42-15-15-15
256,2500,天然雀,natu,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
257,2500,天然鳥,xatu,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
258,2500,天秤偶,baltoy,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
259,2500,天蠍,gligar,1-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
260,2500,天蠍 暗影化,gligar_shadow,1-04-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
261,2500,天蠍王,gliscor,1-03-02,40.5-0-14-15,39.5-5-11-11,,35-15-15-15,-,-13.00%,15.00%,-,-,0.00%,M,35-15-15-15
262,2500,天蠍王 暗影化,gliscor_shadow,1-04-02,40.5-0-14-15,39.5-5-11-11,,35-15-15-15,-,-7.00%,-5.00%,-,-,-5.00%,M,35-15-15-15
263,2500,太古盔甲,armaldo,0-02-01,35-2-15-15,36-5-7-12,,31-15-15-15,-,1.00%,3.00%,-,-,2.00%,B,35-2-15-15
264,2500,太古羽蟲,anorith,1-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
265,2500,太陽伊布,espeon,0-04-02,29-1-15-15,28.5-5-14-14,,27.5-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,27.5-15-15-15
266,2500,太陽岩,solrock,0-02-01,50-5-15-15,40-15-15-15,,45.5-15-15-15,-,41.00%,0.00%,-,-,0.00%,M,45.5-15-15-15
267,2500,太陽珊瑚,corsola,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
268,2500,奇諾栗鼠,cinccino,0-01-03,50-12-15-15,40-15-15-15,,48.5-15-15-15,-,17.00%,0.00%,-,-,0.00%,M,48.5-15-15-15
269,2500,奇魯莉安,kirlia,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
270,2500,奇魯莉安 暗影化,kirlia_shadow,1-01-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
271,2500,好啦魷,inkay,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
272,2500,妖火紅狐,delphox,0-03-04,30.5-1-15-15,30-5-13-13,,28.5-15-15-15,-,-26.00%,-24.00%,-,-,-24.00%,M,28.5-15-15-15
273,2500,妙喵,espurr,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
274,2500,妙蛙種子,bulbasaur,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
275,2500,妙蛙種子 暗影化,bulbasaur_shadow,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
276,2500,妙蛙花,venusaur,1-01-04,39-1-15-14,39-5-9-12,,34-15-15-15,-,-28.00%,-26.00%,-,-,-25.00%,M,34-15-15-15
277,2500,妙蛙花 (Mega),venusaur_mega,1-01-04,25.5-0-15-9,24.5-6-12-15,,23.5-15-15-15,-,-19.00%,-16.00%,-,-,-16.00%,M,23.5-15-15-15
278,2500,妙蛙花 暗影化,venusaur_shadow,1-01-04,39-1-15-14,39-5-9-12,,34-15-15-15,-,1.00%,4.00%,-,-,1.00%,B,39-1-15-14
279,2500,妙蛙草,ivysaur,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
280,2500,妙蛙草 暗影化,ivysaur_shadow,1-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
281,2500,姆克兒,starly,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
282,2500,姆克鳥,staravia,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
283,2500,姆克鷹,staraptor,1-01-02,35.5-2-15-14,34-7-14-15,,31.5-15-15-15,-,17.00%,0.00%,-,-,0.00%,M,31.5-15-15-15
284,2500,始祖大鳥,archeops,1-03-02,27.5-1-15-15,27-6-15-13,,26-15-15-15,-,-43.00%,-42.00%,-,-,-42.00%,M,26-15-15-15
285,2500,始祖小鳥,archen,1-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
286,2500,安瓢蟲,ledian,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
287,2500,寶包繭,swadloon,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
288,2500,寶寶丁,igglybuff,0-01-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
289,2500,寶寶暴龍,tyrunt,0-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
290,2500,寶石海星,starmie,2018-05-02,43-0-15-14,39.5-12-13-12,,37.5-15-15-15,-,-15.00%,-15.00%,-,-,15.00%,D,39.5-12-13-12
291,2500,寶貝龍,bagon,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
292,2500,寶貝龍 暗影化,bagon_shadow,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
293,2500,小卡比獸,munchlax,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
294,2500,小嘴蝸,shelmet,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
295,2500,小小象,phanpy,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
296,2500,小山豬,swinub,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
297,2500,小拉達,rattata,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
298,2500,小拉達 暗影化,rattata_shadow,0-01-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
299,2500,小拉達 阿羅拉型態,rattata_alolan,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
300,2500,小拳石,geodude,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
301,2500,小拳石 阿羅拉型態,geodude_alolan,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
302,2500,小木靈,phantump,0-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
303,2500,小果然,wynaut,0-1-0,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
304,2500,小海獅,seel,0-02-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
305,2500,小火焰猴,chimchar,0-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
306,2500,小火馬,ponyta,0-02-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
307,2500,小火馬 伽勒爾型態,ponyta_galarian,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
308,2500,小火龍,charmander,0-03-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
309,2500,小火龍 暗影化,charmander_shadow,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
310,2500,小灰怪,elgyem,1-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
311,2500,小獅獅,litleo,1-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
312,2500,小球飛魚,mantyke,0-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
313,2500,小碎鑽,carbink,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
314,2500,小磁怪,magnemite,1-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
315,2500,小磁怪 暗影化,magnemite_shadow,1-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
316,2500,小福蛋,happiny,0-1-0,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
317,2500,小箭雀,fletchling,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
318,2500,小約克,lillipup,0-03-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
319,2500,小貓怪,shinx,0-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
320,2500,小鋸鱷,totodile,1-02-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
321,2500,尖牙籠,carnivine,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
322,2500,尖牙陸鯊,gabite,0-02-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
323,2500,尼多力諾,nidorino,0-04-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
324,2500,尼多力諾 暗影化,nidorino_shadow,0-04-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
325,2500,尼多后,nidoqueen,1-02-05,47-0-14-15,40-15-15-15,,40-15-15-15,-,4.00%,4.00%,-,-,0.00%,B,47-0-14-15
326,2500,尼多后 暗影化,nidoqueen_shadow,1-02-05,47-0-14-15,40-15-15-15,,40-15-15-15,-,-58.00%,-58.00%,-,-,0.00%,M,40-15-15-15
327,2500,尼多娜,nidorina,1-02-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
328,2500,尼多娜 暗影化,nidorina_shadow,1-03-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
329,2500,尼多朗,nidoran_male,1-01-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
330,2500,尼多朗 暗影化,nidoran_male_shadow,1-01-04,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
331,2500,尼多王,nidoking,2-02-03,44-0-14-14,38.5-15-13-15,,38-15-15-15,-,-54.00%,-54.00%,-,-,54.00%,D,38.5-15-13-15
332,2500,尼多王 暗影化,nidoking_shadow,0-02-04,44-0-14-14,38.5-15-13-15,,38-15-15-15,-,-47.00%,-46.00%,-,-,47.00%,D,38.5-15-13-15
333,2500,尼多蘭,nidoran_female,1-01-02,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
334,2500,尼多蘭 暗影化,nidoran_female_shadow,1-01-03,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
335,2500,尾立,sentret,0-03-01,50-15-15-15,40-15-15-15,,50-15-15-15,-,0.00%,0.00%,-,-,0.00%,M,50-15-15-15
342,2500,岩殿居蟹,crustle,0-2-3,45-0-14-15,40-13-13-14,44-2-14-15,38.5-15-15-15,6%,4%,4%,3%,3%,36%,B,45-0-14-15
337,2500,巨沼怪,swampert,0-02-01,33.5-0-14-13,32-6-11-14,32.5-5-13-10,29-15-15-15,-28.00%,-28.00%,-26.00%,-28.00%,-25.00%,-25.00%,M,29-15-15-15
339,2500,巨沼怪 暗影化,swampert_shadow,0-03-01,33.5-0-14-13,32-6-11-14,32.5-5-13-10,29-15-15-15,-2.00%,-3.00%,4.00%,-60.00%,-59.00%,-59.00%,M,29-15-15-15
