count,Name,SpeciesID,BEST,DEFAULT,MAX,B2D,D2M,B2M,RESULT
230,太陽岩,solrock,24.5-0-15-14,24-5-13-10,22.5-15-15-15,-23%,-21%,-23%,22.5-15-15-15
231,太陽珊瑚,corsola,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
232,奇諾栗鼠,cinccino,25-2-15-14,25-5-10-13,23-15-15-15,0%,0%,0%,23-15-15-15
233,奇魯莉安,kirlia,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
234,奇魯莉安 暗影化,kirlia_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
235,妙蛙種子,bulbasaur,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
236,妙蛙種子 暗影化,bulbasaur_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
237,妙蛙花,venusaur,21-0-14-11,20.5-6-14-8,19-15-15-15,-6%,-3%,-6%,19-15-15-15
238,妙蛙花 (Mega),venusaur_mega,15-1-15-15,15-7-6-12,14-15-15-15,2%,2%,2%,15-1-15-15
239,妙蛙花 暗影化,venusaur_shadow,21-0-14-11,20.5-6-14-8,19-15-15-15,-53%,-53%,-53%,19-15-15-15
240,妙蛙草,ivysaur,38.5-0-13-14,35.5-6-13-15,31.5-15-15-15,-12%,-7%,-12%,31.5-15-15-15
241,妙蛙草 暗影化,ivysaur_shadow,38.5-0-13-14,35.5-6-13-15,31.5-15-15-15,-54%,-53%,-54%,31.5-15-15-15
242,姆克兒,starly,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
243,姆克鳥,staravia,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
244,姆克鷹,staraptor,20-0-13-13,19-12-14-12,18.5-15-15-15,10%,7%,10%,20-0-13-13
245,始祖大鳥,archeops,16.5-1-15-15,16.5-8-9-14,15.5-15-15-15,-27%,27%,-27%,16.5-8-9-14
246,始祖小鳥,archen,31-0-15-15,32-5-10-10,28.5-15-15-15,-21%,-19%,-21%,28.5-15-15-15
247,安瓢蟲,ledian,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
248,寶包繭,swadloon,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
249,寶寶丁,igglybuff,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
250,寶石海星,starmie,22-0-15-11,22-5-9-8,20-15-15-15,2%,0%,2%,22-0-15-11
251,寶貝龍,bagon,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
252,寶貝龍 暗影化,bagon_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
253,小卡比獸,munchlax,32-0-14-13,30-6-11-12,27.5-15-15-15,2%,-20%,2%,32-0-14-13
254,小嘴蝸,shelmet,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
255,小小象,phanpy,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
256,小山豬,swinub,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
257,小拉達,rattata,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
258,小拉達 暗影化,rattata_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
259,小拉達 阿羅拉型態,rattata_alolan,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
260,小拳石,geodude,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
261,小拳石 阿羅拉型態,geodude_alolan,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
262,小果然,wynaut,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
263,小海獅,seel,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
264,小火焰猴,chimchar,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
265,小火馬,ponyta,37.5-0-15-14,35.5-6-15-11,31.5-15-15-15,-27%,-27%,-27%,31.5-15-15-15
266,小火龍,charmander,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
267,小火龍 暗影化,charmander_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
268,小灰怪,elgyem,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
269,小球飛魚,mantyke,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
270,小磁怪,magnemite,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
271,小磁怪 暗影化,magnemite_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
272,小福蛋,happiny,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
273,小約克,lillipup,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
274,小貓怪,shinx,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
275,小鋸鱷,totodile,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
276,尖牙籠,carnivine,26.5-0-14-13,25.5-9-15-8,24-15-15-15,2%,44%,2%,26.5-0-14-13
277,尖牙陸鯊,gabite,31-0-15-14,31-6-6-14,28-15-15-15,12%,-52%,12%,31-0-15-14
278,尼多力諾,nidorino,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
279,尼多力諾 暗影化,nidorino_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
280,尼多后,nidoqueen,23-0-15-12,23-5-6-10,21-15-15-15,-64%,-63%,-64%,21-15-15-15
281,尼多后 暗影化,nidoqueen_shadow,23-0-15-12,23-5-6-10,21-15-15-15,-47%,-45%,-47%,21-15-15-15
282,尼多娜,nidorina,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
283,尼多娜 暗影化,nidorina_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
284,尼多朗,nidoran_male,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
285,尼多朗 暗影化,nidoran_male_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
286,尼多王,nidoking,22-0-14-15,21.5-7-15-8,20-15-15-15,-40%,-40%,-40%,20-15-15-15
287,尼多王 暗影化,nidoking_shadow,22-0-14-15,21.5-7-15-8,20-15-15-15,-20%,-20%,-20%,20-15-15-15
288,尼多蘭,nidoran_female,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
289,尼多蘭 暗影化,nidoran_female_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
290,尾立,sentret,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
291,岩殿居蟹,crustle,22.5-0-13-13,22-5-12-11,20.5-15-15-15,-47%,-47%,-47%,20.5-15-15-15
292,巨沼怪,swampert,19-0-14-14,19-5-7-10,17.5-15-15-15,-6%,-4%,-6%,17.5-15-15-15
293,巨沼怪 暗影化,swampert_shadow,19-0-14-14,19-5-7-10,17.5-15-15-15,-57%,-57%,-57%,17.5-15-15-15
294,巨牙鯊,sharpedo,25.5-0-15-15,24.5-11-14-15,24-15-15-15,0%,0%,0%,24-15-15-15
295,巨牙鯊 暗影化,sharpedo_shadow,25.5-0-15-15,24.5-11-14-15,24-15-15-15,0%,0%,0%,24-15-15-15
296,巨翅飛魚,mantine,27.5-0-15-14,27-6-9-10,24.5-15-15-15,-14%,-5%,-14%,24.5-15-15-15
297,巨蔓藤,tangrowth,18.5-1-15-15,18-9-14-10,17-15-15-15,-5%,4%,-5%,18-9-14-10
298,巨金怪,metagross,14.5-2-15-15,14-13-13-15,13.5-15-15-15,-12%,12%,-12%,14-13-13-15
299,巨金怪 暗影化,metagross_shadow,14.5-2-15-15,14-13-13-15,13.5-15-15-15,2%,0%,2%,14.5-2-15-15
300,巨鉗螳螂,scizor,18.5-1-15-15,18-7-14-15,17.5-15-15-15,-30%,-29%,-30%,17.5-15-15-15
301,巨鉗螳螂 暗影化,scizor_shadow,18.5-1-15-15,18-7-14-15,17.5-15-15-15,-12%,-12%,-12%,17.5-15-15-15
302,巨鉗蟹,kingler,20-0-9-15,19.5-7-8-15,18.5-15-15-15,-34%,-33%,-34%,18.5-15-15-15
303,差不多娃娃,audino,40-1-15-15,37-7-14-12,32-15-15-15,-37%,-35%,-37%,32-15-15-15
304,巴大蝶,butterfree,33-0-13-15,31-5-13-14,28.5-15-15-15,0%,0%,0%,28.5-15-15-15
305,布魯,snubbull,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
306,布魯皇,granbull,22-0-15-15,22-7-8-12,20.5-15-15-15,4%,0%,4%,20.5-15-15-15
307,帕奇利茲,pachirisu,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
308,帕路奇亞,palkia,14-1-10-14,13.5-11-15-10,13-15-15-15,9%,0%,9%,14-1-10-14
309,帝牙海獅,walrein,21-0-12-15,20-9-13-13,19-15-15-15,3%,16%,3%,21-0-12-15
310,帝牙盧卡,dialga,13.5-5-15-14,13.5-7-14-9,13-15-15-15,2%,0%,2%,13.5-5-15-14
311,帝王拿波,empoleon,19.5-0-13-15,19-6-11-14,18-15-15-15,-12%,-11%,-12%,18-15-15-15
312,師父鼬,mienshao,20.5-0-15-15,19.5-11-15-15,19-15-15-15,1%,0%,1%,20.5-0-15-15
313,席多藍恩,heatran,15-1-13-10,14.5-10-10-12,13.5-15-15-15,6%,2%,6%,15-1-13-10
314,幕下力士,makuhita,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
315,幸福蛋,blissey,21.5-0-15-3,20-9-15-8,19-15-15-15,2%,15%,2%,21.5-0-15-3
316,幼基拉斯,larvitar,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
317,幼基拉斯 暗影化,larvitar_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
318,幾何雪花,cryogonal,20.5-0-14-11,19.5-8-14-13,18.5-15-15-15,0%,1%,0%,19.5-8-14-13
319,引夢貘人,hypno,28-0-13-13,27-7-14-7,25-15-15-15,-48%,-48%,-48%,25-15-15-15
320,引夢貘人 暗影化,hypno_shadow,28-0-13-13,27-7-14-7,25-15-15-15,0%,0%,0%,25-15-15-15
321,彷徨夜靈,dusclops,39.5-8-15-15,37.5-13-13-13,36-15-15-15,-13%,-13%,-13%,36-15-15-15
322,彷徨夜靈 暗影化,dusclops_shadow,39.5-8-15-15,37.5-13-13-13,36-15-15-15,0%,-46%,0%,36-15-15-15
323,心蝙蝠,swoobat,38-0-15-9,35.5-7-13-10,31-15-15-15,-10%,1%,-10%,35.5-7-13-10
324,快拳郎,hitmonchan,24.5-0-11-15,23.5-8-12-13,22.5-15-15-15,2%,0%,2%,24.5-0-11-15
325,快拳郎 暗影化,hitmonchan_shadow,24.5-0-11-15,23.5-8-12-13,22.5-15-15-15,0%,0%,0%,22.5-15-15-15
326,快龍,dragonite,14.5-3-15-14,14.5-7-9-12,13.5-15-15-15,6%,0%,6%,14.5-3-15-14
327,快龍 暗影化,dragonite_shadow,14.5-3-15-14,14.5-7-9-12,13.5-15-15-15,0%,2%,0%,14.5-7-9-12
328,念力土偶,claydol,29.5-0-14-15,28.5-8-9-12,26.5-15-15-15,2%,2%,2%,29.5-0-14-15
329,急凍鳥,articuno,18.5-1-15-14,18.5-5-12-6,17-15-15-15,-31%,-31%,-31%,17-15-15-15
330,急凍鳥 暗影化,articuno_shadow,18.5-1-15-14,18.5-5-12-6,17-15-15-15,-15%,-11%,-15%,17-15-15-15
331,怨影娃娃,shuppet,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
332,怨影娃娃 暗影化,shuppet_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
333,怪力,machamp,18.5-0-14-11,18-6-10-15,17-15-15-15,0%,0%,0%,17-15-15-15
334,怪力 暗影化,machamp_shadow,18.5-0-14-11,18-6-10-15,17-15-15-15,0%,0%,0%,17-15-15-15
335,恰雷姆,medicham,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
336,愛心魚,luvdisc,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
337,懶人獺,slakoth,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
338,戰槌龍,rampardos,17-1-14-8,16.5-11-13-8,15.5-15-15-15,0%,0%,0%,15.5-15-15-15
339,戰舞郎,hitmontop,26.5-0-14-15,26-8-10-10,24-15-15-15,8%,4%,8%,26.5-0-14-15
340,戴魯比,houndour,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
341,戴魯比 暗影化,houndour_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
342,扒手貓,purrloin,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
343,打擊鬼,sawk,20-0-15-15,20-5-14-7,18.5-15-15-15,-18%,-18%,-18%,18.5-15-15-15
344,投摔鬼,throh,22-2-15-15,22-7-7-13,20.5-15-15-15,-9%,-6%,-9%,20.5-15-15-15
345,拉帝亞斯,latias,16-1-12-14,15.5-9-9-15,14.5-15-15-15,0%,1%,0%,15.5-9-9-15
346,拉帝歐斯,latios,14.5-1-14-15,14-13-13-13,13.5-15-15-15,0%,0%,0%,13.5-15-15-15
347,拉普拉斯,lapras,22-0-10-14,21.5-7-5-12,19.5-15-15-15,-25%,12%,-25%,21.5-7-5-12
348,拉普拉斯 暗影化,lapras_shadow,22-0-10-14,21.5-7-5-12,19.5-15-15-15,-11%,63%,-11%,21.5-7-5-12
349,拉達,raticate,36.5-0-14-15,34.5-6-12-14,30.5-15-15-15,-7%,-5%,-7%,30.5-15-15-15
350,拉達 暗影化,raticate_shadow,36.5-0-14-15,34.5-6-12-14,30.5-15-15-15,2%,0%,2%,36.5-0-14-15
351,拉達 阿羅拉型態,raticate_alolan,39-0-13-14,36-7-10-15,31.5-15-15-15,2%,3%,2%,39-0-13-14
352,拉魯拉絲,ralts,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
353,拉魯拉絲 暗影化,ralts_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
354,捲捲耳,buneary,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
355,捷克羅姆,zekrom,13.5-5-15-14,13.5-7-14-9,13-15-15-15,2%,0%,2%,13.5-5-15-14
356,探探鼠,patrat,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
357,搖籃百合,cradily,26-0-15-15,25.5-5-15-8,23.5-15-15-15,-27%,-13%,-27%,23.5-15-15-15
358,搬運小匠,timburr,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
359,摩魯蛾,venomoth,27.5-0-13-15,27.5-5-6-13,25-15-15-15,-14%,-10%,-14%,25-15-15-15
360,摩魯蛾 暗影化,venomoth_shadow,27.5-0-13-15,27.5-5-6-13,25-15-15-15,-47%,-45%,-47%,25-15-15-15
361,敏捷蟲,accelgor,23-0-14-15,22-11-14-14,21.5-15-15-15,0%,0%,0%,21.5-15-15-15
362,敗露球菇,amoonguss,27-0-14-15,26-6-13-13,24.5-15-15-15,2%,1%,2%,27-0-14-15
363,斑斑馬,blitzle,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
364,斗笠菇,breloom,21-2-15-15,21-6-13-11,19.5-15-15-15,3%,10%,3%,21-2-15-15
365,斧牙龍,fraxure,25-1-15-15,25-5-11-13,23.5-15-15-15,0%,0%,0%,23.5-15-15-15
366,時拉比,celebi,16.5-10-15-13,16.5-12-12-10,16-15-15-15,-23%,23%,-23%,16.5-12-12-10
367,晃晃斑,spinda,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
368,暖暖豬,tepig,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
369,暴雪王,abomasnow,24-0-15-15,23.5-5-14-11,22-15-15-15,3%,2%,3%,24-0-15-15
370,暴雪王 暗影化,abomasnow_shadow,24-0-15-15,23.5-5-14-11,22-15-15-15,-39%,-28%,-39%,22-15-15-15
371,暴飛龍,salamence,15-0-10-14,14.5-9-9-15,14-15-15-15,0%,0%,0%,14-15-15-15
372,暴飛龍 暗影化,salamence_shadow,15-0-10-14,14.5-9-9-15,14-15-15-15,0%,0%,0%,14-15-15-15
373,暴鯉龍,gyarados,16.5-0-14-15,16-10-11-13,15-15-15-15,-7%,7%,-7%,16-10-11-13
374,暴鯉龍 暗影化,gyarados_shadow,16.5-0-14-15,16-10-11-13,15-15-15-15,2%,0%,2%,16.5-0-14-15
375,月亮伊布,umbreon,27.5-0-15-15,26-7-13-15,24.5-15-15-15,-11%,-4%,-11%,24.5-15-15-15
376,月桂葉,bayleef,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
377,月石,lunatone,24.5-0-15-14,24-5-13-10,22.5-15-15-15,-23%,-21%,-23%,22.5-15-15-15
378,朝北鼻,nosepass,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
379,木守宮,treecko,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
380,木棉球,cottonee,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
381,未知圖騰,unown,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
382,東施喵,purugly,29.5-0-12-15,29.5-5-10-7,26.5-15-15-15,4%,3%,4%,29.5-0-12-15
383,果然翁,wobbuffet,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
384,果然翁 暗影化,wobbuffet_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
385,森林蜥蜴,grovyle,38.5-0-15-14,38.5-5-8-13,32.5-15-15-15,1%,-66%,1%,38.5-0-15-14
386,椰蛋樹,exeggutor,18.5-1-15-14,18-8-15-10,17-15-15-15,-5%,-2%,-5%,17-15-15-15
387,椰蛋樹 暗影化,exeggutor_shadow,18.5-1-15-14,18-8-15-10,17-15-15-15,-47%,-46%,-47%,17-15-15-15
388,椰蛋樹 阿羅拉型態,exeggutor_alolan,18.5-1-15-14,18.5-5-14-6,17-15-15-15,-72%,72%,-72%,18.5-5-14-6
389,榛果球,pineco,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
390,樂天河童,ludicolo,24.5-0-15-15,23.5-8-13-15,22.5-15-15-15,-3%,1%,-3%,23.5-8-13-15
391,樹才怪,sudowoodo,27-0-14-11,25.5-6-14-15,24-15-15-15,0%,3%,0%,25.5-6-14-15
392,樹林龜,grotle,31.5-0-15-11,29.5-6-12-14,27.5-15-15-15,0%,1%,0%,29.5-6-12-14
393,樹林龜 暗影化,grotle_shadow,31.5-0-15-11,29.5-6-12-14,27.5-15-15-15,0%,0%,0%,27.5-15-15-15
394,橡實果,seedot,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
395,橡實果 暗影化,seedot_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
396,櫻花兒 盛開型態,cherrim_sunny,28-0-13-15,27-7-14-11,25.5-15-15-15,-21%,-18%,-21%,25.5-15-15-15
397,櫻花兒 花苞型態,cherrim_overcast,28-0-13-15,27-7-14-11,25.5-15-15-15,3%,-58%,3%,28-0-13-15
398,櫻花寶,cherubi,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
399,櫻花魚,gorebyss,22.5-0-15-15,22.5-6-15-6,21-15-15-15,6%,-2%,6%,22.5-0-15-15
400,正電拍拍,plusle,34.5-0-15-14,34-6-9-12,29.5-15-15-15,-53%,-52%,-53%,29.5-15-15-15
401,步哨鼠,watchog,33-0-15-15,31-8-14-11,28.5-15-15-15,2%,25%,2%,33-0-15-15
402,死神棺,cofagrigus,25.5-0-11-14,24-7-15-15,23-15-15-15,-19%,-18%,-19%,23-15-15-15
403,毒刺水母,tentacruel,23.5-1-15-15,23.5-5-12-7,21.5-15-15-15,-1%,1%,-1%,23.5-5-12-7
404,毒粉蛾,dustox,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
405,毒薔薇,roselia,31-0-13-15,29.5-7-15-11,28-15-15-15,4%,-1%,4%,31-0-13-15
406,毒骷蛙,toxicroak,22.5-1-15-15,22-7-14-12,21-15-15-15,-15%,-14%,-15%,21-15-15-15
407,比克提尼,victini,16.5-10-15-13,16.5-12-12-10,16-15-15-15,-21%,21%,-21%,16.5-12-12-10
408,比比鳥,pidgeotto,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
409,毛球,venonat,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
410,毛球 暗影化,venonat_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
411,毛頭小鷹,rufflet,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
412,毽子棉,jumpluff,40-4-15-14,38.5-7-12-15,34-15-15-15,3%,-26%,3%,34-15-15-15
413,毽子花,skiploom,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
414,毽子草,hoppip,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
415,水伊布,vaporeon,18-1-15-15,17.5-6-14-13,16.5-15-15-15,2%,2%,2%,18-1-15-15
416,水君,suicune,19-1-15-14,18.5-6-11-15,17.5-15-15-15,-12%,-9%,-12%,17.5-15-15-15
417,水君 暗影化,suicune_shadow,19-1-15-14,18.5-6-11-15,17.5-15-15-15,-21%,-19%,-21%,17.5-15-15-15
418,水晶燈火靈,chandelure,17-0-15-14,17-8-12-7,16-15-15-15,4%,-1%,4%,16-15-15-15
419,水水獺,oshawott,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
420,水箭龜,blastoise,23-1-15-15,22-9-13-15,21-15-15-15,2%,2%,2%,23-1-15-15
421,水箭龜 (Mega),blastoise_mega,14-1-15-15,14-8-5-13,13-15-15-15,-18%,18%,-18%,14-8-5-13
422,水箭龜 暗影化,blastoise_shadow,23-1-15-15,22-9-13-15,21-15-15-15,2%,-34%,2%,23-1-15-15
423,水躍魚,mudkip,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
424,水躍魚 暗影化,mudkip_shadow,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
425,沙基拉斯,pupitar,35.5-0-14-14,33.5-5-13-13,29.5-15-15-15,1%,2%,1%,35.5-0-14-14
426,沙基拉斯 暗影化,pupitar_shadow,35.5-0-14-14,33.5-5-13-13,29.5-15-15-15,1%,2%,1%,35.5-0-14-14
427,沙奈朵,gardevoir,18-0-15-15,18-5-9-12,16.5-15-15-15,0%,0%,0%,16.5-15-15-15
428,沙奈朵 暗影化,gardevoir_shadow,18-0-15-15,18-5-9-12,16.5-15-15-15,0%,0%,0%,16.5-15-15-15
429,沙河馬,hippopotas,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
430,沙漠蜻蜓,flygon,21.5-0-15-9,20.5-8-12-15,19.5-15-15-15,2%,6%,2%,21.5-0-15-9
431,沙漠蜻蜓 暗影化,flygon_shadow,21.5-0-15-9,20.5-8-12-15,19.5-15-15-15,-59%,-48%,-59%,19.5-15-15-15
432,沙鈴仙人掌,maractus,25-0-13-14,25-5-8-11,23-15-15-15,1%,-63%,1%,25-0-13-14
433,河馬獸,hippowdon,18.5-0-14-10,18-7-13-7,17-15-15-15,-45%,-45%,-45%,17-15-15-15
434,沼王,quagsire,29-0-15-14,28-6-15-10,26-15-15-15,3%,1%,3%,29-0-15-14
435,沼躍魚,marshtomp,35-0-14-15,33-7-11-14,29.5-15-15-15,-19%,-16%,-19%,29.5-15-15-15
436,沼躍魚 暗影化,marshtomp_shadow,35-0-14-15,33-7-11-14,29.5-15-15-15,3%,-57%,3%,35-0-14-15
437,泡沫栗鼠,minccino,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
438,波克基古,togetic,38.5-0-14-14,37.5-5-10-10,31-15-15-15,-14%,-12%,-14%,31-15-15-15
439,波克基斯,togekiss,17-0-14-11,16.5-8-15-7,15.5-15-15-15,0%,0%,0%,15.5-15-15-15
440,波克比,togepi,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
441,波加曼,piplup,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
442,波士可多拉,aggron,19-0-14-12,18-9-14-15,17.5-15-15-15,-8%,-7%,-8%,17.5-15-15-15
443,波波,pidgey,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
444,波皇子,prinplup,38-0-15-14,37-5-12-11,31.5-15-15-15,1%,-5%,1%,38-0-15-14
445,泥偶小人,golett,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
446,泥偶巨人,golurk,19.5-2-15-14,20-5-7-8,18-15-15-15,0%,4%,0%,20-5-7-8
447,泥巴魚,stunfisk,27-0-12-15,26-7-15-6,24-15-15-15,-19%,-15%,-19%,24-15-15-15
448,泥巴魚 伽勒爾型態,stunfisk_galarian,27-0-12-15,26-7-15-6,24-15-15-15,-66%,-55%,-66%,24-15-15-15
449,泥泥鰍,barboach,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
450,泳圈鼬,buizel,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
451,洛奇亞,lugia,15-4-14-15,15-5-6-15,14-15-15-15,-26%,-23%,-26%,14-15-15-15
452,洛托姆 切割洛托姆,rotom_mow,22-0-12-15,22-5-7-11,20-15-15-15,-12%,10%,-12%,22-5-7-11
453,洛托姆 加熱洛托姆,rotom_heat,22-0-12-15,22-5-7-11,20-15-15-15,-57%,57%,-57%,22-5-7-11
454,洛托姆 旋轉洛托姆,rotom_fan,22-0-12-15,22-5-7-11,20-15-15-15,31%,16%,31%,22-0-12-15
455,洛托姆 洛托姆的樣子,rotom,28-0-14-15,28-5-6-14,25.5-15-15-15,-1%,3%,-1%,28-5-6-14
456,洛托姆 清洗洛托姆,rotom_wash,22-0-12-15,22-5-7-11,20-15-15-15,-36%,36%,-36%,22-5-7-11
457,洛托姆 結冰洛托姆,rotom_frost,22-0-12-15,22-5-7-11,20-15-15-15,-52%,52%,-52%,22-5-7-11
458,派拉斯,paras,40-15-15-15,40-15-15-15,40-15-15-15,0%,0%,0%,40-15-15-15
459,派拉斯特,parasect,32-0-13-15,31-5-10-12,28-15-15-15,-33%,-31%,-33%,28-15-15-15
460,流氓鱷,krookodile,18.5-0-13-14,18-5-12-14,17-15-15-15,-62%,-61%,-62%,17-15-15-15
461,浮潛鼬,floatzel,23-0-15-14,23-6-12-7,21.5-15-15-15,1%,0%,1%,23-0-15-14
